n,nt,nb,s,DIST,10,100,1000,10000,100000
35,5,1024,1,normal,0.0020592808723449,0.0008094385266304,0.0017811134457588,0.0126692056655883,0.1235609054565429
35,5,1024,1,gamma,0.0020267143845558,0.0009068772196769,0.0024610161781311,0.018636554479599,0.180501103401184
35,5,1024,1,uniform,0.0019783899188041,0.0007156729698181,0.0009837448596954,0.0046842694282531,0.047549121081829
220,10,1024,1,normal,0.0107479095458984,0.0047633647918701,0.0128230303525924,0.0936378836631774,0.9191744551062584
220,10,1024,1,gamma,0.0112491324543952,0.0057402476668357,0.0175487324595451,0.1378147006034851,1.3446104228496552
220,10,1024,1,uniform,0.0110037922859191,0.0043961182236671,0.0067521631717681,0.0345471575856208,0.3576715886592865
680,15,1024,1,normal,0.0302386581897735,0.015846349298954,0.0450510084629058,0.3376134112477302,3.296629257500172
680,15,1024,1,gamma,0.0326875671744346,0.0200168937444686,0.064033143222332,0.5025376528501511,4.871466755867004
680,15,1024,1,uniform,0.0310722142457962,0.0146911442279815,0.0235993117094039,0.1218232959508895,1.2375105395913124
1540,20,1024,1,normal,0.0635214895009994,0.038927748799324,0.109224759042263,0.8181260153651237,8.141153626143932
1540,20,1024,1,gamma,0.0709184184670448,0.0487485975027084,0.1580994576215744,1.3223729580640793,11.91105505079031
1540,20,1024,1,uniform,0.0656985566020011,0.0344949439167976,0.0562370643019676,0.2942265793681144,3.040981948375702
2925,25,1024,1,normal,0.1221783682703971,0.0880273357033729,0.268911100924015,2.0904830396175385,20.963642828166485
2925,25,1024,1,gamma,0.1707361787557602,0.1437159776687622,0.4351692050695419,3.158096320927143,30.891997903585438
2925,25,1024,1,uniform,0.12636549025774,0.0755543932318687,0.1291187331080436,0.7051907554268837,7.408461600542068
4960,30,1024,1,normal,0.2100490555167198,0.1591538861393928,0.4986130893230438,4.015491351485252,38.34846953302622
4960,30,1024,1,gamma,0.236123688519001,0.19765105843544,0.7200026735663414,5.908508762717247,57.49529381841421
4960,30,1024,1,uniform,0.2140217050909996,0.1326640546321869,0.2332913726568222,1.2951742932200432,13.745888732373714
7770,35,1024,1,normal,0.3393102362751961,0.2613037303090095,0.8246849626302719,6.412639148533344,65.22365112602711
7770,35,1024,1,gamma,0.3712795004248619,0.3194237574934959,1.1772968918085098,10.199634470045568,98.36479446291924
7770,35,1024,1,uniform,0.3334758356213569,0.2170218750834465,0.3794163018465042,2.1080967858433723,22.96754030138254
11480,40,1024,1,normal,0.4851934313774109,0.388347752392292,1.2356654033064842,10.171223059296608,95.0273350328207
11480,40,1024,1,gamma,0.6014706715941429,0.4829550981521606,1.7913682982325554,14.713833533227444,139.5012559518218
11480,40,1024,1,uniform,0.4924682900309562,0.3299121186137199,0.5874869897961617,3.187844902276993,33.05168139189482
16215,45,1024,1,normal,0.6902365759015083,0.5522864013910294,1.7403814271092417,13.565825030207634,131.1251305937767
16215,45,1024,1,gamma,0.7556060701608658,0.6799161359667778,2.5081953927874565,21.18497853726149,198.14488761872053
16215,45,1024,1,uniform,0.6813590750098228,0.4556507170200348,0.8102877885103226,4.987968862056732,46.2967788875103
22100,50,1024,1,normal,0.941499538719654,0.7536906898021698,2.3572997748851776,18.602316357195377,181.4569501429796
22100,50,1024,1,gamma,1.0420842915773392,1.228231854736805,3.630294531583786,28.138209149241447,269.70481139421463
22100,50,1024,1,uniform,0.9289372116327286,0.627319797873497,1.0896568819880486,6.216902941465378,64.45708590000868
