r,s,n,N,NB,MST,MLB,RND,M-U,MD-U,B-U,SB-U,W-U,SW-U,HM-U,SHM-U,GM-U,SGM-U,R-U,D-U,NC-U,SD-U,M-O,MD-O,B-O,W-O,HM-O,GM-O,R-O,D-O,NC-O,SD-O
32,1,35,5,1024,23743.28876,11265.669048,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876,23743.28876
32,4,35,5,1024,23743.28876,11265.669048,21860.875176,20777.941408,20777.941408,19185.356792,19185.356792,21103.9387359999,21103.9387359999,19185.356792,19185.356792,19185.356792,23719.1721039999,20777.941408,20777.941408,19185.356792,21103.9387359999,19185.356792,19185.356792,19185.356792,19185.356792,19981.76076,19185.356792,21860.875176,20969.497008,19185.356792,20969.497008
32,1,220,10,1024,125515.55272,23866.973008,125515.55272,117035.20908,117035.20908,116031.4294,116031.4294,117035.20908,117035.20908,117311.443504,118228.0596,117651.883856,117035.20908,118392.232848,117035.20908,116031.4294,117035.20908,119472.87984,119472.87984,116031.4294,119472.87984,119286.669952,119472.87984,125515.55272,125515.55272,116645.734896,125515.55272
32,4,220,10,1024,125515.55272,23866.973008,72456.954304,53338.832592,53338.832592,47468.71604,47468.71604,51102.4308080001,51102.4308080001,49800.047488,48592.953064,48731.683584,55418.2635919999,57478.825728,53338.832592,49483.919616,51102.4308080001,53422.8541440001,54388.2851840001,47468.71604,54388.2851840001,52708.740168,52950.7332160001,72456.954304,71669.894504,47667.6647200001,72348.0259120001
32,1,680,15,1024,361114.419880001,36468.2769679999,350797.099720001,302103.057512001,302103.057512001,293615.838472,293615.838472,302130.419720001,302130.419720001,298370.108520001,299314.086824001,297766.570568001,302494.714120001,305082.327944001,302494.714120001,294089.581704,302130.419720001,301456.190288001,301456.190288001,293615.838472,301456.190288001,299459.416104,301037.171472001,350797.099720001,350797.099720001,289653.8568,350797.099720001
32,4,680,15,1024,361114.419880001,36468.2769679999,156683.462616,107158.36444,107440.972096,111157.787872,111157.787872,107483.827024,107483.827024,114026.020648,109498.120056,112751.201456,110133.301256,114768.443592,107919.607368,108855.600112,107510.822784,114791.21864,116709.183904,111157.787872,116709.183904,111302.260624,112222.864888,156683.462616,155896.402816,109135.263936,156676.728312
32,1,1540,20,1024,786337.518239997,49069.5809279999,695780.096391997,627465.400407999,627410.675991999,614035.884864,614035.884864,606327.807792,606327.807792,620351.703808,622689.5496,616728.36816,624265.127336,615494.746368,625730.556968,614431.049632,602871.45344,587035.156736,584392.008384001,614035.884864,584392.008384001,589389.656544001,589515.554863999,695780.096391997,694240.002391997,572230.191776,694240.002391997
32,4,1540,20,1024,786337.518239997,49069.5809279999,291621.62376,206909.353848,210093.74664,207077.580288,207077.580288,206929.994216,206929.994216,209750.79256,207343.882984,210630.807888,208810.063368,213708.493832,209318.259616,210207.286336,206537.402328,213316.721864,215890.49996,207077.580288,215890.49996,212098.909344,213965.864784,291621.62376,293539.884472,210731.034744,294274.900616
32,1,2925,25,1024,1456982.4758,61670.8848879999,1211026.461568,1050589.678768,1051957.41976,1120194.466744,1120194.466744,1026522.4626,1026522.4626,1083624.50496,1082297.66064,1068239.882152,1053807.122392,1057361.721024,1054805.825112,1118337.380504,1025255.750096,1036388.767848,1037885.827776,1120194.466744,1037885.827776,1032572.005512,1035837.347368,1211026.461568,1201859.385608,1030605.396664,1201969.379648
32,4,2925,25,1024,1456982.4758,61670.8848879999,486876.765416002,364185.268024002,363113.922472002,364456.657160001,364456.657160001,363282.243632002,363282.243632002,361123.455896002,360023.161416001,364896.019584001,364410.522792001,369667.164432001,364603.703152001,364502.570440001,364968.771536002,377737.920672001,379780.003688001,364456.657160001,379780.003688001,373955.487560001,373344.536888,486876.765416002,489584.768128002,366248.120248,489186.942144002
32,1,4960,30,1024,2428846.92056011,74272.1888479999,1926269.50309601,1708563.32249601,1707306.26604801,1839968.195496,1839968.195496,1673026.47810401,1673026.47810401,1721380.55072001,1719799.72629601,1711547.90602401,1706838.67071201,1716557.74051201,1717012.98851201,1834921.02784,1674151.46738401,1706403.74761601,1694037.181848,1839968.195496,1694037.181848,1705987.61960801,1697000.92706401,1926269.50309601,1912315.47972801,1711795.05674401,1912425.47376801
32,4,4960,30,1024,2428846.92056011,74272.1888479999,749431.655271998,589673.629520001,590695.465832001,585333.318032002,585333.318032002,589021.388864001,589021.388864001,584852.139056002,587184.876208002,587621.869216002,590882.532344,593990.551776001,591678.256568001,586524.679352002,589106.458256001,600631.277400001,599945.556856,585333.318032002,599945.556856,599883.736632,598767.750752,749431.655271998,757298.443639998,576416.523504001,751768.176775999
32,1,7770,35,1024,3757728.48052065,113870.560015777,2907225.99064015,2616836.24624019,2615586.20611219,2727424.69272829,2727424.69272829,2569654.20959218,2569654.20959218,2602410.07187224,2609721.25368825,2612304.12068025,2616383.9162962,2630707.1470402,2629211.9660802,2717594.65922428,2567373.19235218,2619767.61611217,2618329.95232017,2727424.69272829,2618329.95232017,2620047.37098417,2619486.04908818,2907225.99064015,2880867.51574416,2606321.01873608,2885104.54129616
32,4,7770,35,1024,3757728.48052065,104381.346681129,1085848.22292,895192.319279998,896312.580343999,894055.870488,894055.870488,880202.022695999,880202.022695999,892346.14796,896568.422655999,894037.796256,880065.253023998,893926.532695998,895631.465407998,896781.68512,881613.070255998,883555.756424,883560.456216,894055.870488,883560.456216,892534.679503999,885593.097127999,1085848.22292,1094517.983064,863984.022039999,1088157.382216
32,1,11480,40,1024,5499424.78368142,166649.235869134,4154421.84802441,3807331.7953928,3808244.9033288,3925684.99359292,3925684.99359292,3744371.54054479,3744371.54054479,3798613.86121687,3797695.14098486,3789301.43213687,3814122.0555608,3815121.5759048,3827552.77191281,3919025.92920891,3744376.28441679,3822817.33724876,3809520.91584026,3925684.99359292,3809520.91584026,3820392.91669666,3826505.35014421,4154421.84802441,4127197.97328847,3834949.30452817,4132083.26405643
32,4,11480,40,1024,5499424.78368142,152761.799546706,1511400.781408,1281817.513216,1281422.148136,1289901.668728,1289901.668728,1244739.178576,1244739.178576,1298764.195,1299532.93795201,1295700.7186,1243130.472,1269705.833832,1284464.749168,1293158.802544,1245450.159224,1258274.490192,1257334.457608,1289901.668728,1257334.457608,1260304.431952,1254140.194968,1511400.781408,1519503.496904,1254218.271176,1513819.38953601
32,1,16215,45,1024,7709733.45804242,233628.286607346,5744340.15692081,5364823.0930256,5361403.9252496,5436794.91173772,5436794.91173772,5251201.46451359,5251201.46451359,5308729.45110566,5309177.23615365,5297595.55002566,5369628.7446816,5346690.1426256,5370655.6809936,5423791.79989772,5250022.98652959,5351338.12696089,5341088.68905755,5436794.91173772,5341088.68905755,5335471.03929651,5335146.87066449,5744340.15692081,5712915.9361851,5358471.88160811,5719857.82348092
32,4,16215,45,1024,7709733.45804242,214159.262723401,2041845.59444801,1755768.95604001,1755159.79968001,1807868.91782401,1807868.91782401,1708826.83754401,1708826.83754401,1804719.36533601,1811339.07855201,1785809.73060801,1702510.36949601,1771031.491712,1758278.85943201,1805438.20600801,1713244.05828801,1734850.83896801,1729115.86124001,1807868.91782401,1729115.86124001,1730133.39707201,1733280.66912001,2041845.59444801,2046504.05008001,1736837.977712,2035154.66305601
32,1,22100,50,1024,10444452.1316002,316498.549442429,7715090.24872117,7286400.81158659,7274377.09331459,7319038.29321072,7319038.29321072,7132169.01302657,7132169.01302657,7191983.62915465,7193698.29205864,7179173.65281066,7267610.35057058,7248319.43638658,7309115.5551146,7303341.29321071,7130101.28115458,7237588.45648842,7229926.71767449,7319038.29321072,7229926.71767449,7228125.97984035,7226951.38134446,7715090.24872117,7681629.64650545,7268312.67396811,7679612.27140152
32,4,22100,50,1024,10444452.1316002,290123.670322226,2681865.2294561,2374362.79724009,2384396.4235681,2437934.62843213,2437934.62843213,2296852.88808806,2296852.88808806,2402185.66876811,2437278.45998413,2349342.6582641,2289030.22920806,2369952.14276008,2381931.61589609,2438910.04628013,2300136.90484807,2326031.53741606,2329260.51656806,2437934.62843213,2329260.51656806,2324103.63640804,2326937.06745605,2681865.2294561,2686523.6850881,2346223.48634404,2675103.8286641
