n,N,nb,s,CPM,SCULLI,CORLCA,K,MC10,MC100
35,5,128,1,0.000116771459579,0.000314079225063,0.000441281497478,0.000641661882401,0.000661000609398,0.000695995241404
35,5,128,4,0.000118454545736,0.000346363335848,0.000489317625761,0.000705213844776,0.000718101114035,0.000776464492083
35,5,1024,1,0.0001440115273,0.00042419731617,0.000622022897005,0.000814616680145,0.000602116435766,0.000647629052401
35,5,1024,4,0.000130144506693,0.000387375801802,0.000542950630188,0.000780821591616,0.000654423981905,0.000713607668877
220,10,128,1,0.000998777896166,0.002880793064833,0.004097926616669,0.005680286884308,0.004102784395218,0.004412391781807
220,10,128,4,0.000976451486349,0.003004612028599,0.004247482120991,0.00593738630414,0.004871752858162,0.005324580520391
220,10,1024,1,0.001102071255445,0.003241594135761,0.005400279164314,0.006290119886398,0.003957296162844,0.004186150431633
220,10,1024,4,0.001026013493538,0.003187140822411,0.004739605635405,0.006304343789816,0.004962047934532,0.005390479415655
680,15,128,1,0.003407835960388,0.010510578751564,0.015070558339357,0.019966139644384,0.012861245125532,0.013860029727221
680,15,128,4,0.003337100893259,0.012268338352442,0.015055515617132,0.020477747917175,0.01541650518775,0.016851877421141
680,15,1024,1,0.003546971082687,0.011109597235918,0.02348004207015,0.021032185852528,0.012845101952553,0.013666746020317
680,15,1024,4,0.003388104587793,0.011065416038036,0.016658708453178,0.021867586672306,0.016362764686346,0.017918081581593
1540,20,128,1,0.008133865147829,0.024977846443653,0.038123374432325,0.048022263497114,0.029502376914024,0.031834214925766
1540,20,128,4,0.007966373860836,0.025039142370224,0.037201799452305,0.049654684960842,0.033876097947359,0.037063585221768
1540,20,1024,1,0.008255291730165,0.027802382409573,0.077379356324673,0.050147895514965,0.030592949688435,0.032345252484083
1540,20,1024,4,0.008132092654705,0.028433145582676,0.046031794697046,0.053251952677965,0.040250117331743,0.043329488486052
2925,25,128,1,0.016395865380764,0.050994722545147,0.088269946724176,0.098966657370329,0.057520904392004,0.062253158539534
2925,25,128,4,0.015821202099323,0.052701088786125,0.084447269886732,0.098872430622578,0.066218174248934,0.072576745599508
2925,25,1024,1,0.015893983095884,0.053384372591972,0.257456081360578,0.100074948370457,0.065084782242775,0.071444169431925
2925,25,1024,4,0.016414462774992,0.05522144138813,0.136574441194534,0.102419579029083,0.077509191632271,0.085451821982861
4960,30,128,1,0.029270146787167,0.092603647708893,0.192690286040306,0.173211375623941,0.102265275269747,0.11208985298872
4960,30,128,4,0.028907299786806,0.094216997921467,0.175671721249819,0.176278904080391,0.117885994911194,0.130373806506395
4960,30,1024,1,0.029299106448889,0.095301898568869,0.635745937377214,0.178158819675446,0.119041258096695,0.132089603692293
4960,30,1024,4,0.029335081577301,0.097061163932085,0.351907060295343,0.181394927203655,0.134424865990877,0.149840695410967
7770,35,128,1,0.051363244652748,0.155518684536219,0.395378496497869,0.283516830950975,0.169023775309324,0.187064994126558
7770,35,128,4,0.051812519878149,0.15921549052,0.383371166884899,0.289351835101843,0.195242421329021,0.216024228930473
7770,35,1024,1,0.052228460460901,0.156100439280272,1.68917944729328,0.291538829356432,0.197128321230412,0.217645590752363
7770,35,1024,4,0.052815242111683,0.15948840752244,0.831238733977079,0.297351489961147,0.22064723148942,0.245662161707878
11480,40,128,1,0.082526108622551,0.243827150017023,0.751371996849775,0.42168317809701,0.259853180497885,0.283768994361162
11480,40,128,4,0.083043073117733,0.241021803021431,0.793661095947027,0.431512399017811,0.341139312833548,0.334685131162405
11480,40,1024,1,0.083255802094936,0.242364370822906,3.60014282017946,0.429460133612156,0.303914429992437,0.333330506831407
11480,40,1024,4,0.08276898264885,0.246826662868261,2.1854773402214,0.436842954903841,0.33939860984683,0.460582704842091
16215,45,128,1,0.123272989690304,0.341792062669992,1.4894608490169,0.603539293259382,0.374424553662538,0.406950630992651
16215,45,128,4,0.125797155499458,0.435121811926365,1.46211307272315,0.695113682001829,0.440709656476975,0.518417840451002
16215,45,1024,1,0.125601708889008,0.355064298212528,8.43633562102914,0.618900113552809,0.434402376413345,0.473800774663687
16215,45,1024,4,0.126472103595734,0.364183314144611,3.84770402759314,0.625595985352993,0.486140926927328,0.535536230355501
22100,50,128,1,0.215407634526491,0.527830313891172,2.53832508921623,0.873926146328449,0.57064254283905,0.594530560076237
22100,50,128,4,0.180175138264894,0.512591955810785,2.67144076004624,0.887032576650381,0.676345632225275,0.691836201399565
22100,50,1024,1,0.179584060609341,0.493403417617083,16.3668331921101,0.924937315285206,0.59673563465476,0.720510781556368
22100,50,1024,4,0.181251087784767,0.50111663788557,8.47287114933133,0.952080506831408,0.712934798002243,0.742008149623871
