DAG,COV,RUN,NORMAL MU,NORMAL VAR,GAMMA MU,GAMMA VAR,UNIFORM MU,UNIFORM VAR,N-G KS,N-U KS,G-U KS
173,0.01,0,1694.0607448640624,12.517467656575835,1694.0418177092654,12.713111049111227,1694.06752991181,12.603269051145956,0.00410000000000002,0.004330000000000056,0.0050000000000000044
173,0.01,1,1558.1073246187955,11.159714551447287,1558.1123679902657,11.058775344925744,1558.09991645846,11.190980481437052,0.0027900000000000147,0.0044399999999999995,0.006680000000000019
173,0.01,2,1558.4548691304765,10.780817988171735,1558.4744074504804,10.659796748681625,1558.4693358365998,10.70434807721972,0.00545000000000001,0.0041200000000000125,0.0036499999999999866
173,0.01,3,1905.9588517737784,14.259155579227807,1905.9532028517378,14.180433393765432,1905.9266968888182,14.182781221418239,0.0029200000000000337,0.005800000000000027,0.007759999999999989
173,0.01,4,1624.481802876465,10.867801808784803,1624.4668894376061,10.772601773664356,1624.4618535122022,10.83092088191341,0.0030400000000000427,0.005369999999999986,0.0040200000000000236
173,0.01,5,1570.9043968691224,11.678486144666888,1570.9061471918621,11.660947734091618,1570.910898850616,11.697007567254333,0.0026000000000000467,0.00492999999999999,0.005210000000000048
173,0.01,6,1669.482620503406,11.942163611267148,1669.462724289695,11.916447161114297,1669.485418692452,11.939441795770426,0.004379999999999995,0.003369999999999984,0.005049999999999999
173,0.01,7,1770.6555995994327,12.616330747097717,1770.6655742067196,12.659291978507543,1770.6371604223511,12.585703212836638,0.0026800000000000157,0.0034600000000000186,0.003489999999999993
173,0.01,8,1688.80609519462,11.277164481137756,1688.811709976949,11.448738573764127,1688.8234072843325,11.347625861802884,0.00277000000000005,0.0043600000000000305,0.0029799999999999827
173,0.01,9,1806.2856682128306,13.32811784160607,1806.2886285134157,13.348437579788747,1806.2952283458012,13.293904253849947,0.0022800000000000598,0.0029600000000000737,0.0035600000000000076
173,0.03,0,1702.4287405312407,113.04805783466581,1702.4382000770638,112.7873841500573,1702.4685624568244,113.17675515170477,0.0033400000000000096,0.005070000000000019,0.005029999999999979
173,0.03,1,1606.910885460363,99.65055053530045,1606.9349109616394,98.7169107175817,1606.8976811691437,99.12930572099619,0.0037700000000000233,0.0025600000000000067,0.004530000000000006
173,0.03,2,1464.794275001996,91.84043645980628,1464.829373640397,92.58376210192064,1464.841049103032,92.6959178848562,0.003170000000000006,0.005029999999999979,0.003529999999999922
173,0.03,3,1660.5749882654923,89.92209233375101,1660.5564962130854,90.08462173195483,1660.6222039772442,89.26767748320317,0.006230000000000069,0.0041599999999999415,0.009240000000000026
173,0.03,4,1876.3267839490352,118.69246723556174,1876.2446108721592,119.65754194780408,1876.2917500306312,119.40830104203918,0.005659999999999998,0.004259999999999986,0.00542999999999999
173,0.03,5,1849.2801298307725,120.12723617592724,1849.2302707095002,120.64551915786176,1849.3082414791188,120.2250917482391,0.00494,0.002980000000000038,0.005430000000000046
173,0.03,6,1888.9548196337714,119.64973085752715,1888.9914283484409,120.08612902695188,1889.035403828343,119.86279129272506,0.0047000000000000375,0.005980000000000096,0.00537999999999994
173,0.03,7,1732.6547158466772,103.96256523039332,1732.6363845025664,104.49246174425973,1732.6720502886426,104.30793385620471,0.0033400000000000096,0.003410000000000024,0.0047399999999999665
173,0.03,8,1648.7232929962745,99.96134830560685,1648.7588031333664,99.81367261485231,1648.71158848784,98.73583959156227,0.0029900000000000204,0.003920000000000035,0.0041400000000000325
173,0.03,9,1499.381254829261,86.76305607160691,1499.375020094196,87.04229965591216,1499.3521337348077,86.97222746548407,0.002829999999999999,0.004520000000000024,0.0047399999999999665
173,0.1,0,1752.3769228615386,1189.5011826468308,1752.3576303207958,1196.591215376281,1752.193505331344,1187.6031490648904,0.0036700000000000066,0.0044399999999999995,0.003790000000000071
173,0.1,1,1695.87105556796,1181.279533462917,1695.5967958223412,1176.0706224382525,1695.70151033891,1182.850295481614,0.007989999999999942,0.004030000000000006,0.007249999999999979
173,0.1,2,1624.6448168570619,982.0013064118227,1624.593223347019,987.3463113061148,1624.3158579034862,982.9989999201891,0.004259999999999986,0.007640000000000036,0.004579999999999973
173,0.1,3,1704.4479965239477,1278.3855144918293,1704.3381479063612,1270.3432728113262,1704.2933007950296,1269.1199299031186,0.005910000000000082,0.004430000000000017,0.0047399999999999665
173,0.1,4,1809.034457820435,1287.1066980962453,1809.1462867133996,1276.8582817616511,1809.1138642532965,1286.9786024591335,0.004140000000000005,0.004009999999999958,0.005340000000000011
173,0.1,5,1707.8335149558354,1181.494585757706,1707.791200769051,1198.1757633498464,1708.0301882044207,1191.8357093568766,0.0049400000000000555,0.006340000000000012,0.009029999999999982
173,0.1,6,1659.0098423022885,1090.493657757677,1658.8965220280252,1098.805575684849,1659.232087860214,1086.1278204083305,0.005209999999999992,0.005859999999999976,0.00810999999999995
173,0.1,7,1605.272970376405,1002.5234447438247,1605.4627313510985,1000.0688312270789,1605.3643355267766,1001.0171197856715,0.004570000000000005,0.0042200000000000015,0.005600000000000049
173,0.1,8,1452.6748778771253,988.397064003057,1452.8390683114587,1004.8966972737172,1452.6630108130914,997.4228431831773,0.004029999999999978,0.0047800000000000065,0.004290000000000016
173,0.1,9,1543.646562959176,834.2154664423442,1543.5232850184757,841.9762927072851,1543.5576628970102,833.9768128313722,0.0048000000000000265,0.0045000000000000595,0.005929999999999991
173,0.3,0,1729.6945255917426,7793.9019954837795,1730.8035427562604,8406.836774941094,1729.1706098019265,7768.167064097063,0.011090000000000044,0.0030900000000000094,0.0122000000000001
