n,r,s,CCR,NAME,RUN,MLB,MST,HEFT,AUT,AUT PTI
1002,32,1,0.01,173,0,255.74960848039916,997.9629961418967,643.3069797369067,646.0922037119802,38.73957040466438
1002,32,1,0.01,173,1,265.7860633875203,1013.1522752695113,592.8829002921836,589.9032200102708,46.27432043978476
1002,32,1,0.01,173,2,252.46768567490355,981.6301725184452,613.7485664505451,610.3337263875961,44.592183479688146
1002,32,1,0.01,173,3,254.47673717669028,1050.1222717472767,621.8283084161183,626.0366453499404,41.74696316478311
1002,32,1,0.01,173,4,257.7789340633844,982.271347516596,628.5863361769516,633.636095572972,40.14962899421947
1002,32,1,0.01,173,5,266.92509938591695,1025.8066002764672,632.8901902744344,642.0349111629858,47.54711396927973
1002,32,1,0.01,173,6,272.22743107607226,1014.9595371789156,637.69631014341,638.9836999254584,45.24140288503696
1002,32,1,0.01,173,7,238.47609231697461,980.1503390154757,634.7554816218648,638.6046062730978,44.04013128501538
1002,32,1,0.01,173,8,271.4405586600371,1013.0491214973275,601.2237962647239,600.1668889377573,47.48554079397763
1002,32,1,0.01,173,9,244.0543387320732,1008.4813127556206,667.1380442761307,669.8626037886519,44.06066892866847
1002,32,1,0.1,173,0,262.92370002747447,982.8625574026739,626.3850253343523,626.9897315634084,42.038490619990206
1002,32,1,0.1,173,1,270.4759570522982,1014.8778902705036,655.8739192814195,657.6238179353473,42.337031594570405
1002,32,1,0.1,173,2,275.33180505769405,1042.2827366151694,623.900746325909,624.9092906568146,45.003692625534896
1002,32,1,0.1,173,3,287.622514367598,1071.1734524530768,683.6252835585145,687.7413579720716,45.0168859919708
1002,32,1,0.1,173,4,258.3337489098988,1000.2839248326112,625.6131083527409,630.9637923442963,40.76293825113539
1002,32,1,0.1,173,5,280.701404626034,1089.1750249566978,662.5201934496893,666.9252442932175,39.85659220064645
1002,32,1,0.1,173,6,269.4132115610303,984.9086244158743,638.6760900470246,641.5806754374165,49.9416990524416
1002,32,1,0.1,173,7,237.58718259550844,962.5221620086048,630.5710269353626,630.5624142355305,38.77838019631468
1002,32,1,0.1,173,8,245.09458836908408,992.5997073176499,623.1643182273333,624.5330277954698,39.69150188605294
